"num"	"acc"	"llr[0|0]"	"llr[0|1]"	"llr[1|0]"	"llr[1|1]"
"A11GX90QFWDLMM"	760	0.496052631578947	0	0	0.0295442756140154	-0.0295442756140153
"A14JQX7IFAICP0"	180	0.561111111111111	0.209453365628950	-0.209453365628950	-0.429684275243245	0.429684275243245
"A14Q86RX5HGCN"	20	0.95	3.32192809488736	-3.32192809488736	-2.45943161863730	2.45943161863730
"A14WWG6NKBDWGP"	20	0.9	2	-2	-2.58496250072116	2.58496250072116
"A151VN1BOY29J1"	40	0.8	1.41503749927884	-1.41503749927884	-2.16992500144231	2.16992500144231
"A153JJMSL7V3C9"	20	1	3.4594316186373	-3.4594316186373	-3.4594316186373	3.4594316186373
"A15GNVZ1EXQMYR"	20	0.85	2	-2	-1.58496250072116	1.58496250072116
"A15H21NMKA3TE4"	40	0.85	1.50250034052918	-1.50250034052918	-3.24792751344359	3.24792751344359
"A15L6WGIK3VU7N"	280	0.917857142857143	3.18057224564182	-3.18057224564182	-3.62058641045188	3.62058641045188
"A15MN5MDG4D7Q9"	40	0.925	3	-3	-2.90689059560852	2.90689059560852
"A16D3RBFGNRKL8"	60	0.916666666666667	2.62449086490779	-2.62449086490779	-4.32192809488736	4.32192809488736
"A16WH8PG6BUGSR"	20	0.95	2.58496250072116	-2.58496250072116	-3.16992500144231	3.16992500144231
"A17HNBZF5A1CWF"	80	0.85	2.85798099512757	-2.85798099512757	-2.03562390973072	2.03562390973072
"A17RPF5ZMO75GW"	20	0.9	2.32192809488736	-2.32192809488736	-2.32192809488736	2.32192809488736
"A18941IO2ZZWW6"	800	0.50625	0.096861539252589	-0.096861539252589	-0.0220263063299989	0.0220263063299989
"A18SO7XEA5K3NR"	40	0.825	2.22239242133645	-2.22239242133645	-1.80735492205760	1.80735492205760
"A19G248ZRHWWHT"	60	0.9	2.09953567355091	-2.09953567355091	-4.70043971814109	4.70043971814109
"A19IBSKBTABMR3"	40	0.85	2.80735492205760	-2.80735492205760	-1.87446911791614	1.87446911791614
"A19PMUTQXDIPLZ"	20	0.95	3.4594316186373	-3.4594316186373	-2.32192809488736	2.32192809488736
"A1APFXFJHE25EE"	20	0.9	1.87446911791614	-1.87446911791614	-3.16992500144231	3.16992500144231
"A1B0YWANQX8P6S"	20	1	3.32192809488736	-3.32192809488736	-3.58496250072116	3.58496250072116
"A1BCDJEVMCR5HD"	20	1	3.32192809488736	-3.32192809488736	-3.58496250072116	3.58496250072116
"A1BG7KLBHHCLYP"	20	0.7	1	-1	-1	1
"A1BLK8SJHCYOQK"	20	0.9	2.16992500144231	-2.16992500144231	-2.45943161863730	2.45943161863730
"A1CP0KZJS5LSIF"	20	0.9	1.87446911791614	-1.87446911791614	-3.16992500144231	3.16992500144231
"A1DCEOFAUIDY58"	100	0.91	3.87446911791614	-3.87446911791614	-2.61470984411521	2.61470984411521
"A1FESKIC2CUD4Y"	20	0.85	1.73696559416621	-1.73696559416621	-2.16992500144231	2.16992500144231
"A1FSNT6DWYDIWA"	20	1	3.4594316186373	-3.4594316186373	-3.4594316186373	3.4594316186373
"A1G42XP7E394WU"	20	0.95	2.16992500144231	-2.16992500144231	-3.58496250072116	3.58496250072116
"A1GD3MQELM1R9M"	20	0.8	2.32192809488736	-2.32192809488736	-1	1
"A1I48Z1CH0458V"	20	0.95	2.45943161863730	-2.45943161863730	-3.32192809488736	3.32192809488736
"A1IHLPH5UWHAB6"	20	0.95	3	-3	-2.32192809488736	2.32192809488736
"A1IPO1FAD1A60X"	20	0.85	1.58496250072116	-1.58496250072116	-2.32192809488736	2.32192809488736
"A1JGQL8LIRM598"	20	0.9	2.16992500144231	-2.16992500144231	-2.45943161863730	2.45943161863730
"A1JPASJWRS7QMK"	20	0.85	1.32192809488736	-1.32192809488736	-3.16992500144231	3.16992500144231
"A1K0I2MPF4CF13"	20	1	3.70043971814109	-3.70043971814109	-3.16992500144231	3.16992500144231
"A1KFIQBETMB81I"	20	1	3.16992500144231	-3.16992500144231	-3.70043971814109	3.70043971814109
"A1KS77MYC4GGZ3"	20	0.9	2.90689059560852	-2.90689059560852	-1.32192809488736	1.32192809488736
"A1L1WI1BXLLZZM"	20	0.9	1.73696559416621	-1.73696559416621	-3.32192809488736	3.32192809488736
"A1LY3NJTYW9TFF"	20	0.8	2.58496250072116	-2.58496250072116	-1.26303440583379	1.26303440583379
"A1M0SEWUJYX9K0"	40	0.875	2.58496250072116	-2.58496250072116	-2.24792751344359	2.24792751344359
