==> ../tempeval4/allturks.tsv <==
id	w1	w2	gold	article
1_0	<font color="purple">spent</font>	<font color="brown">thought</font>	3	<p>On the other hand, it's turning out to be another very bad financial week for Asia. <br></br>The financial assistance from the World Bank and the International Monetary Fund are not helping. <br></br>In the last twenty four hours, the value of the Indonesian stock market has fallen by twelve percent. <br></br>The Indonesian currency has <b><u><font color="blue">lost</font></u></b> twenty six percent of its value. <br></br>In Singapore, stocks <b><u><font color="green">hit</font></u></b> a five year low. <br></br>In the Philippines, a four year low. <br></br>And in Hong Kong, a three percent <b><u><font color="orange">drop</font></u></b>. <br></br>More problems in Hong Kong for a place, for an economy, that many experts <b><u><font color="red">thought</font></u></b> was once invincible. <br></br>Here's ABC's Jim Laurie. <br></br>Not that long ago, before the Chinese takeover, the news about real estate here was that the sky was the limit the highest prices in the world. <br></br>So when Wong Kwan <b><u><font color="purple">spent</font></u></b> seventy million dollars for this house, he <b><u><font color="brown">thought</font></u></b> it was a great deal. <br></br>He sold the property to five buyers and said he'd double his money. <br></br>In Hong Kong, is always belongs to the seller's market. <br></br>Now with new construction under way, three of his buyers have backed out. <br></br>And Wong Kwan will be lucky to break even. <br></br>All across Hong Kong, the property market has crashed. <br></br>Pamela Pak owns eight condominiums here. <br></br>Pak can't find buyers. <br></br>She estimates her properties, worth a hundred thirty million dollars in October, are worth only half that now. <br></br>They believe ah it will be always up going up and up ah forever. <br></br>Nobody believe this any more. <br></br>Of all of Asia's economies, Hong Kong is the most robust. <br></br>But in the past three months, stocks have plunged, interest rates have soared and the downturn all across Asia means that people are not spending here. <br></br>Hotels are only thirty percent full. <br></br>You can get seventy percent discounts at the shopping malls. <br></br>Three thousand dollar pearls for eight hundred dollars. <br></br>A two hundred dollar wool jacket for fifty dollars. <br></br>Still, there are few buyers. <br></br>And at the big brokerage houses, after ten years of boom, they're talking about layoffs. <br></br>I think that the mood is fairly gloomy, and I think it's not going to change for a couple of years. <br></br>So for Hong Kong, it's time, as investment bankers like to say, to reposition. <br></br>To either hold on tight or get out, as much of Asia goes into recession. <br></br>Jim Laurie, ABC News, Hong Kong. <br></br></p>
1_1	<font color="red">spent</font>	<font color="brown">sold</font>	1	<p>On the other hand, it's turning out to be another very bad financial week for Asia. <br></br>The financial assistance from the World Bank and the International Monetary Fund are not helping. <br></br>In the last twenty four hours, the value of the Indonesian stock market has fallen by twelve percent. <br></br>The Indonesian currency has lost twenty six percent of its value. <br></br>In Singapore, stocks <b><u><font color="blue">hit</font></u></b> a five year low. <br></br>In the Philippines, a four year low. <br></br>And in Hong Kong, a three percent <b><u><font color="green">drop</font></u></b>. <br></br>More problems in Hong Kong for a place, for an economy, that many experts <b><u><font color="orange">thought</font></u></b> was once invincible. <br></br>Here's ABC's Jim Laurie. <br></br>Not that long ago, before the Chinese takeover, the news about real estate here was that the sky was the limit the highest prices in the world. <br></br>So when Wong Kwan <b><u><font color="red">spent</font></u></b> seventy million dollars for this house, he <b><u><font color="purple">thought</font></u></b> it was a great deal. <br></br>He <b><u><font color="brown">sold</font></u></b> the property to five buyers and said he'd double his money. <br></br>In Hong Kong, is always belongs to the seller's market. <br></br>Now with new construction under way, three of his buyers have backed out. <br></br>And Wong Kwan will be lucky to break even. <br></br>All across Hong Kong, the property market has crashed. <br></br>Pamela Pak owns eight condominiums here. <br></br>Pak can't find buyers. <br></br>She estimates her properties, worth a hundred thirty million dollars in October, are worth only half that now. <br></br>They believe ah it will be always up going up and up ah forever. <br></br>Nobody believe this any more. <br></br>Of all of Asia's economies, Hong Kong is the most robust. <br></br>But in the past three months, stocks have plunged, interest rates have soared and the downturn all across Asia means that people are not spending here. <br></br>Hotels are only thirty percent full. <br></br>You can get seventy percent discounts at the shopping malls. <br></br>Three thousand dollar pearls for eight hundred dollars. <br></br>A two hundred dollar wool jacket for fifty dollars. <br></br>Still, there are few buyers. <br></br>And at the big brokerage houses, after ten years of boom, they're talking about layoffs. <br></br>I think that the mood is fairly gloomy, and I think it's not going to change for a couple of years. <br></br>So for Hong Kong, it's time, as investment bankers like to say, to reposition. <br></br>To either hold on tight or get out, as much of Asia goes into recession. <br></br>Jim Laurie, ABC News, Hong Kong. <br></br></p>
2_0	<font color="blue">released</font>	<font color="green">went</font>	2	<p>In Washington today, the Federal Aviation Administration <b><u><font color="blue">released</font></u></b> air traffic control tapes from the night the TWA Flight eight hundred <b><u><font color="green">went</font></u></b> down. <br></br>There's nothing new on why the plane <b><u><font color="orange">exploded</font></u></b>, but you can not miss the moment. <br></br>ABC's Lisa Stark has more. <br></br>There was no hint of trouble in the last conversation between controllers and TWA pilot Steven Snyder <br></br>TWA eight hundred climb <b><u><font color="red">maintain</font></u></b> one five thousand. <br></br>TWA's eight hundred heavy climb and maintain one five thousand leavin - three thousand. <br></br>But a minute and a half later, a pilot from a nearby flight <b><u><font color="purple">calls</font></u></b> in. <br></br>Ah, we just <b><u><font color="brown">saw</font></u></b> an explosion up ahead of us here about sixteen thousand feet or something like that. <br></br>It just went down. <br></br>The controller at Boston center tries to raise TWA eight hundred. <br></br>TWA eight hundred, if you hear center, ident. <br></br>There is no response. <br></br>Later, the controller asks the Eastwind pilot for more details. <br></br>Ah yes, sir. <br></br>It - It just blew up in the air, and then we saw two fireballs go down to the, to the water, and there was a big small, ah, smoke, from ah, coming up from that. <br></br>At one point, when it became clear controllers could not contact the plane, someone said a prayer. <br></br>TWA eight hundred, center <br></br>I think that was him. <br></br>I think so. <br></br>God bless him. <br></br>Lisa Stark ABC news Washington <br></br></p>
2_1	<font color="green">went</font>	<font color="orange">exploded</font>	3	<p>In Washington today, the Federal Aviation Administration <b><u><font color="blue">released</font></u></b> air traffic control tapes from the night the TWA Flight eight hundred <b><u><font color="green">went</font></u></b> down. <br></br>There's nothing new on why the plane <b><u><font color="orange">exploded</font></u></b>, but you can not miss the moment. <br></br>ABC's Lisa Stark has more. <br></br>There was no hint of trouble in the last conversation between controllers and TWA pilot Steven Snyder <br></br>TWA eight hundred climb <b><u><font color="red">maintain</font></u></b> one five thousand. <br></br>TWA's eight hundred heavy climb and maintain one five thousand leavin - three thousand. <br></br>But a minute and a half later, a pilot from a nearby flight <b><u><font color="purple">calls</font></u></b> in. <br></br>Ah, we just <b><u><font color="brown">saw</font></u></b> an explosion up ahead of us here about sixteen thousand feet or something like that. <br></br>It just went down. <br></br>The controller at Boston center tries to raise TWA eight hundred. <br></br>TWA eight hundred, if you hear center, ident. <br></br>There is no response. <br></br>Later, the controller asks the Eastwind pilot for more details. <br></br>Ah yes, sir. <br></br>It - It just blew up in the air, and then we saw two fireballs go down to the, to the water, and there was a big small, ah, smoke, from ah, coming up from that. <br></br>At one point, when it became clear controllers could not contact the plane, someone said a prayer. <br></br>TWA eight hundred, center <br></br>I think that was him. <br></br>I think so. <br></br>God bless him. <br></br>Lisa Stark ABC news Washington <br></br></p>
2_2	<font color="blue">went</font>	<font color="brown">went</font>	3	<p>In Washington today, the Federal Aviation Administration released air traffic control tapes from the night the TWA Flight eight hundred <b><u><font color="blue">went</font></u></b> down. <br></br>There's nothing new on why the plane <b><u><font color="green">exploded</font></u></b>, but you can not miss the moment. <br></br>ABC's Lisa Stark has more. <br></br>There was no hint of trouble in the last conversation between controllers and TWA pilot Steven Snyder <br></br>TWA eight hundred climb <b><u><font color="orange">maintain</font></u></b> one five thousand. <br></br>TWA's eight hundred heavy climb and maintain one five thousand leavin - three thousand. <br></br>But a minute and a half later, a pilot from a nearby flight <b><u><font color="red">calls</font></u></b> in. <br></br>Ah, we just <b><u><font color="purple">saw</font></u></b> an explosion up ahead of us here about sixteen thousand feet or something like that. <br></br>It just <b><u><font color="brown">went</font></u></b> down. <br></br>The controller at Boston center tries to raise TWA eight hundred. <br></br>TWA eight hundred, if you hear center, ident. <br></br>There is no response. <br></br>Later, the controller asks the Eastwind pilot for more details. <br></br>Ah yes, sir. <br></br>It - It just blew up in the air, and then we saw two fireballs go down to the, to the water, and there was a big small, ah, smoke, from ah, coming up from that. <br></br>At one point, when it became clear controllers could not contact the plane, someone said a prayer. <br></br>TWA eight hundred, center <br></br>I think that was him. <br></br>I think so. <br></br>God bless him. <br></br>Lisa Stark ABC news Washington <br></br></p>
2_3	<font color="purple">hear</font>	<font color="brown">ident</font>	1	<p>In Washington today, the Federal Aviation Administration released air traffic control tapes from the night the TWA Flight eight hundred went down. <br></br>There's nothing new on why the plane exploded, but you can not miss the moment. <br></br>ABC's Lisa Stark has more. <br></br>There was no hint of trouble in the last conversation between controllers and TWA pilot Steven Snyder <br></br>TWA eight hundred climb maintain one five thousand. <br></br>TWA's eight hundred heavy climb and maintain one five thousand leavin - three thousand. <br></br>But a minute and a half later, a pilot from a nearby flight <b><u><font color="blue">calls</font></u></b> in. <br></br>Ah, we just <b><u><font color="green">saw</font></u></b> an explosion up ahead of us here about sixteen thousand feet or something like that. <br></br>It just <b><u><font color="orange">went</font></u></b> down. <br></br>The controller at Boston center tries to <b><u><font color="red">raise</font></u></b> TWA eight hundred. <br></br>TWA eight hundred, if you <b><u><font color="purple">hear</font></u></b> center, <b><u><font color="brown">ident</font></u></b>. <br></br>There is no response. <br></br>Later, the controller asks the Eastwind pilot for more details. <br></br>Ah yes, sir. <br></br>It - It just blew up in the air, and then we saw two fireballs go down to the, to the water, and there was a big small, ah, smoke, from ah, coming up from that. <br></br>At one point, when it became clear controllers could not contact the plane, someone said a prayer. <br></br>TWA eight hundred, center <br></br>I think that was him. <br></br>I think so. <br></br>God bless him. <br></br>Lisa Stark ABC news Washington <br></br></p>
2_4	<font color="blue">went</font>	<font color="brown">blew</font>	3	<p>In Washington today, the Federal Aviation Administration released air traffic control tapes from the night the TWA Flight eight hundred went down. <br></br>There's nothing new on why the plane exploded, but you can not miss the moment. <br></br>ABC's Lisa Stark has more. <br></br>There was no hint of trouble in the last conversation between controllers and TWA pilot Steven Snyder <br></br>TWA eight hundred climb maintain one five thousand. <br></br>TWA's eight hundred heavy climb and maintain one five thousand leavin - three thousand. <br></br>But a minute and a half later, a pilot from a nearby flight calls in. <br></br>Ah, we just saw an explosion up ahead of us here about sixteen thousand feet or something like that. <br></br>It just <b><u><font color="blue">went</font></u></b> down. <br></br>The controller at Boston center tries to <b><u><font color="green">raise</font></u></b> TWA eight hundred. <br></br>TWA eight hundred, if you <b><u><font color="orange">hear</font></u></b> center, <b><u><font color="red">ident</font></u></b>. <br></br>There is no response. <br></br>Later, the controller <b><u><font color="purple">asks</font></u></b> the Eastwind pilot for more details. <br></br>Ah yes, sir. <br></br>It - It just <b><u><font color="brown">blew</font></u></b> up in the air, and then we saw two fireballs go down to the, to the water, and there was a big small, ah, smoke, from ah, coming up from that. <br></br>At one point, when it became clear controllers could not contact the plane, someone said a prayer. <br></br>TWA eight hundred, center <br></br>I think that was him. <br></br>I think so. <br></br>God bless him. <br></br>Lisa Stark ABC news Washington <br></br></p>
2_5	<font color="purple">blew</font>	<font color="brown">saw</font>	1	<p>In Washington today, the Federal Aviation Administration released air traffic control tapes from the night the TWA Flight eight hundred went down. <br></br>There's nothing new on why the plane exploded, but you can not miss the moment. <br></br>ABC's Lisa Stark has more. <br></br>There was no hint of trouble in the last conversation between controllers and TWA pilot Steven Snyder <br></br>TWA eight hundred climb maintain one five thousand. <br></br>TWA's eight hundred heavy climb and maintain one five thousand leavin - three thousand. <br></br>But a minute and a half later, a pilot from a nearby flight calls in. <br></br>Ah, we just saw an explosion up ahead of us here about sixteen thousand feet or something like that. <br></br>It just went down. <br></br>The controller at Boston center tries to <b><u><font color="blue">raise</font></u></b> TWA eight hundred. <br></br>TWA eight hundred, if you <b><u><font color="green">hear</font></u></b> center, <b><u><font color="orange">ident</font></u></b>. <br></br>There is no response. <br></br>Later, the controller <b><u><font color="red">asks</font></u></b> the Eastwind pilot for more details. <br></br>Ah yes, sir. <br></br>It - It just <b><u><font color="purple">blew</font></u></b> up in the air, and then we <b><u><font color="brown">saw</font></u></b> two fireballs go down to the, to the water, and there was a big small, ah, smoke, from ah, coming up from that. <br></br>At one point, when it became clear controllers could not contact the plane, someone said a prayer. <br></br>TWA eight hundred, center <br></br>I think that was him. <br></br>I think so. <br></br>God bless him. <br></br>Lisa Stark ABC news Washington <br></br></p>
2_6	<font color="purple">go</font>	<font color="brown">coming</font>	1	<p>In Washington today, the Federal Aviation Administration released air traffic control tapes from the night the TWA Flight eight hundred went down. <br></br>There's nothing new on why the plane exploded, but you can not miss the moment. <br></br>ABC's Lisa Stark has more. <br></br>There was no hint of trouble in the last conversation between controllers and TWA pilot Steven Snyder <br></br>TWA eight hundred climb maintain one five thousand. <br></br>TWA's eight hundred heavy climb and maintain one five thousand leavin - three thousand. <br></br>But a minute and a half later, a pilot from a nearby flight calls in. <br></br>Ah, we just saw an explosion up ahead of us here about sixteen thousand feet or something like that. <br></br>It just went down. <br></br>The controller at Boston center tries to raise TWA eight hundred. <br></br>TWA eight hundred, if you hear center, <b><u><font color="blue">ident</font></u></b>. <br></br>There is no response. <br></br>Later, the controller <b><u><font color="green">asks</font></u></b> the Eastwind pilot for more details. <br></br>Ah yes, sir. <br></br>It - It just <b><u><font color="orange">blew</font></u></b> up in the air, and then we <b><u><font color="red">saw</font></u></b> two fireballs <b><u><font color="purple">go</font></u></b> down to the, to the water, and there was a big small, ah, smoke, from ah, <b><u><font color="brown">coming</font></u></b> up from that. <br></br>At one point, when it became clear controllers could not contact the plane, someone said a prayer. <br></br>TWA eight hundred, center <br></br>I think that was him. <br></br>I think so. <br></br>God bless him. <br></br>Lisa Stark ABC news Washington <br></br></p>

