emotion	annotations	correlation
anger	1	0.443819304376044
anger	2	0.535551430108413
anger	3	0.582758218229368
anger	4	0.611605126728037
anger	5	0.630962057030362
anger	6	0.644824471261808
anger	7	0.65523227148676
anger	8	0.663330238618233
anger	9	0.669808915109484
anger	10	0.675109055240077
disgust	1	0.537168295303696
disgust	2	0.627378610138705
disgust	3	0.669870357897556
disgust	4	0.694564955465261
disgust	5	0.710652030540941
disgust	6	0.721945259202755
disgust	7	0.730302820100128
disgust	8	0.73673516057309
disgust	9	0.741837785272408
disgust	10	0.745983981173997
fear	1	0.418462967706714
fear	2	0.519112572659779
fear	3	0.573497707516101
fear	4	0.607942721824477
fear	5	0.631727075645723
fear	6	0.649152499355894
fear	7	0.662477814031924
fear	8	0.673002267623722
fear	9	0.681527237036991
fear	10	0.688574389315021
joy	1	0.339626602136803
joy	2	0.437735418103017
joy	3	0.495782547753947
joy	4	0.534496775991968
joy	5	0.562285291660194
joy	6	0.58322058049168
joy	7	0.599551110092485
joy	8	0.61263178630762
joy	9	0.623332045807779
joy	10	0.632237465519928
sadness	1	0.563956952304634
sadness	2	0.655677282036365
sadness	3	0.69860325283331
sadness	4	0.723580279079848
sadness	5	0.739926371986316
sadness	6	0.751455637673994
sadness	7	0.7600225662668
sadness	8	0.766637985371373
sadness	9	0.771899922944279
sadness	10	0.776184806949657
surprise	1	0.201062593851206
surprise	2	0.27188549442349
surprise	3	0.322370489179619
surprise	4	0.361668451555943
surprise	5	0.3937123097636
surprise	6	0.420568799746128
surprise	7	0.443520938922732
surprise	8	0.46343317346369
surprise	9	0.480919131893077
surprise	10	0.496430750839134
valence	1	0.530209207982397
valence	2	0.653640100170967
valence	3	0.718232827136677
valence	4	0.757799483921184
valence	5	0.784345465463136
valence	6	0.803313979689113
valence	7	0.817514995599218
valence	8	0.828533648705905
valence	9	0.837327074163511
valence	10	0.844505430797348
