"word1","word2","sim"
"midday","noon",9.6
"automobile","car",9.9
"gem","jewel",9.4
"boy","lad",9.8
"coast","shore",9.8
"journey","voyage",9.4
"magician","wizard",9.1
"furnace","stove",7.3
"bird","crane",8
"food","fruit",7.8
"bird","cock",7.9
"asylum","madhouse",8.3
"brother","lad",5.1
"tool","implement",8.2
"brother","monk",6.3
"coast","forest",3
"car","journey",4.3
"shore","woodland",3
"monk","oracle",5.1
"food","rooster",4.3
"coast","hill",3.4
"crane","implement",3.1
"cemetery","woodland",2.1
"monk","slave",1.5
"forest","graveyard",1.9
"lad","wizard",3
"cord","smile",0.3
"glass","magician",2
"rooster","voyage",0.2
"noon","string",0.2
